country_code,country_name,region,income_level,som_row,som_col,macro_cluster,gdp_per_capita,life_expectancy,internet_users_pct,urban_population_pct,unemployment_pct,electricity_access_pct,co2_tons_per_capita_2018
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,3,0,2,413.757894705303,66.289,16.09499931,25.7007352636188,13.687,85.3,0.2024873337232666
AGO,Angola,Sub-Saharan Africa,Lower middle income,5,1,3,2665.87444776753,64.805,40.70479965,70.6551379036435,14.02,51.1,0.8735618301407908
ALB,Albania,Europe & Central Asia,Upper middle income,6,4,4,11377.7757431099,79.776,85.86389923,58.5463634043555,10.689,100.0,2.132120121193389
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,7,9,1,50273.5060469837,83.069,100.0,85.8171088279791,2.16,100.0,21.430021137939473
ARG,Argentina,Latin America & Caribbean,Upper middle income,8,5,1,13969.7836603737,77.543,89.66715228,92.2742315972952,7.15,100.0,3.972913868633669
ARM,Armenia,Europe & Central Asia,Upper middle income,6,4,4,8556.21406956719,78.319512195122,81.33930206,65.8113671449901,12.405,100.0,1.8693162681037387
AUS,Australia,East Asia & Pacific,High income,7,9,1,64603.9856308464,83.0512195121951,96.13140106,87.6021469990446,3.942,100.0,15.487561759767095
AUT,Austria,Europe & Central Asia,High income,6,7,1,58268.8787651601,81.9951219512195,94.91974877,69.4658181096788,5.2,100.0,7.146637624637734
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2,8,4,7283.8499076179,74.576,90.43979645,58.573795837717,5.648,100.0,3.221402183209251
BDI,Burundi,Sub-Saharan Africa,Low income,0,0,2,219.424830882698,63.818,8.595999718,24.8302838651025,0.915,11.6,0.049749372778458624
BEL,Belgium,Europe & Central Asia,High income,8,7,1,56614.5679499036,82.3,95.77579144,87.6126557010527,5.7,100.0,8.179711061136143
BEN,Benin,Sub-Saharan Africa,Lower middle income,2,2,2,1485.38018885134,60.961,33.98379898,52.5455354818423,1.637,57.0,0.6387610716230434
BFA,Burkina Faso,Sub-Saharan Africa,Low income,1,0,2,981.992649769081,61.292,28.25270081,28.3352514896662,3.441,21.7,0.20892160830691886
BGD,Bangladesh,South Asia,Lower middle income,0,5,0,2593.41611680774,74.93,53.42171316,32.6783196323307,3.635,99.5,0.5061058558801933
BGR,Bulgaria,Europe & Central Asia,High income,4,7,4,17596.0173663521,75.7609756097561,82.438955,73.9499356882481,4.2,100.0,6.12892833311329
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,8,9,1,29653.5682731534,81.423,100.0,100.0,1.084,100.0,20.457843204436724
BHS,"Bahamas, The",Latin America & Caribbean,High income,8,5,1,39455.4466548546,74.71,92.47270203,81.3249262966481,9.049,100.0,5.754780159758808
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,7,3,4,9358.78768951134,78.044,86.10091103,52.1224302754935,10.69,100.0,6.654856805432536
BLR,Belarus,Europe & Central Asia,Upper middle income,4,7,4,8317.63399913792,74.3653414634147,94.26182128,79.1551015210848,3.458,100.0,6.283647736440654
BLZ,Belize,Latin America & Caribbean,Upper middle income,0,8,4,7681.24400583113,73.739,80.00582262,41.7532107338224,8.698,99.6,1.7884100508644858
BOL,Bolivia,Latin America & Caribbean,Lower middle income,3,6,4,4421.16609889999,68.739,79.70469666,71.2361453773988,3.274,99.8,1.9733466986804733
BRA,Brazil,Latin America & Caribbean,Upper middle income,5,5,4,10310.5488778166,76.023,84.46347227,87.8958549533146,6.801,99.8,2.0751816210880607
