year,macro_cluster,countries
2014,0,48
2014,1,34
2014,2,11
2014,3,37
2014,4,19
2014,5,34
2015,0,47
2015,1,31
2015,2,13
2015,3,37
2015,4,19
2015,5,36
2016,0,49
2016,1,33
2016,2,12
2016,3,32
2016,4,17
2016,5,37
2017,0,53
2017,1,36
2017,2,9
2017,3,27
2017,4,18
2017,5,33
2018,0,51
2018,1,31
2018,2,9
2018,3,23
2018,4,16
2018,5,41
2019,0,52
2019,1,30
2019,2,9
2019,3,24
2019,4,16
2019,5,42
2020,0,49
2020,1,27
2020,2,10
2020,3,21
2020,4,23
2020,5,40
2021,0,51
2021,1,21
2021,2,11
2021,3,21
2021,4,19
2021,5,44
2022,0,53
2022,1,18
2022,2,11
2022,3,21
2022,4,14
2022,5,49
2023,0,53
2023,1,16
2023,2,11
2023,3,21
2023,4,11
2023,5,52
