feature,year,available_countries,total_countries,coverage_pct
gdp_per_capita,2014,213,217,98.2
gdp_per_capita,2015,212,217,97.7
gdp_per_capita,2016,211,217,97.2
gdp_per_capita,2017,211,217,97.2
gdp_per_capita,2018,211,217,97.2
gdp_per_capita,2019,211,217,97.2
gdp_per_capita,2020,210,217,96.8
gdp_per_capita,2021,210,217,96.8
gdp_per_capita,2022,209,217,96.3
gdp_per_capita,2023,203,217,93.5
life_expectancy,2014,217,217,100.0
life_expectancy,2015,217,217,100.0
life_expectancy,2016,217,217,100.0
life_expectancy,2017,217,217,100.0
life_expectancy,2018,217,217,100.0
life_expectancy,2019,217,217,100.0
life_expectancy,2020,217,217,100.0
life_expectancy,2021,217,217,100.0
life_expectancy,2022,217,217,100.0
life_expectancy,2023,217,217,100.0
internet_users_pct,2014,201,217,92.6
internet_users_pct,2015,201,217,92.6
internet_users_pct,2016,203,217,93.5
internet_users_pct,2017,200,217,92.2
internet_users_pct,2018,182,217,83.9
internet_users_pct,2019,189,217,87.1
internet_users_pct,2020,184,217,84.8
internet_users_pct,2021,180,217,82.9
internet_users_pct,2022,182,217,83.9
internet_users_pct,2023,181,217,83.4
urban_population_pct,2014,217,217,100.0
urban_population_pct,2015,217,217,100.0
urban_population_pct,2016,217,217,100.0
urban_population_pct,2017,217,217,100.0
urban_population_pct,2018,217,217,100.0
urban_population_pct,2019,217,217,100.0
urban_population_pct,2020,217,217,100.0
urban_population_pct,2021,217,217,100.0
urban_population_pct,2022,217,217,100.0
urban_population_pct,2023,217,217,100.0
unemployment_pct,2014,187,217,86.2
unemployment_pct,2015,187,217,86.2
unemployment_pct,2016,187,217,86.2
unemployment_pct,2017,187,217,86.2
unemployment_pct,2018,187,217,86.2
unemployment_pct,2019,187,217,86.2
unemployment_pct,2020,187,217,86.2
unemployment_pct,2021,187,217,86.2
unemployment_pct,2022,186,217,85.7
unemployment_pct,2023,184,217,84.8
electricity_access_pct,2014,215,217,99.1
electricity_access_pct,2015,215,217,99.1
electricity_access_pct,2016,215,217,99.1
electricity_access_pct,2017,215,217,99.1
electricity_access_pct,2018,215,217,99.1
electricity_access_pct,2019,215,217,99.1
electricity_access_pct,2020,215,217,99.1
electricity_access_pct,2021,215,217,99.1
electricity_access_pct,2022,215,217,99.1
electricity_access_pct,2023,215,217,99.1
co2_tons_per_capita,2014,191,217,88.0
co2_tons_per_capita,2015,191,217,88.0
co2_tons_per_capita,2016,191,217,88.0
co2_tons_per_capita,2017,191,217,88.0
co2_tons_per_capita,2018,191,217,88.0
co2_tons_per_capita,2019,0,217,0.0
co2_tons_per_capita,2020,0,217,0.0
co2_tons_per_capita,2021,0,217,0.0
co2_tons_per_capita,2022,0,217,0.0
co2_tons_per_capita,2023,0,217,0.0
