country_code,country_name,region,income_level,start_year,end_year,years_observed,start_som_row,start_som_col,end_som_row,end_som_col,complete_full_window,total_feature_distance,mean_feature_step,max_single_year_feature_step,total_som_steps,max_single_year_som_step
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,2014,2023,10,2,2,9,11,True,5.331,0.5923,1.6366,16,16
KHM,Cambodia,East Asia & Pacific,Lower middle income,2014,2023,10,9,3,9,9,True,4.794,0.5327,1.1702,10,5
GHA,Ghana,Sub-Saharan Africa,Lower middle income,2014,2023,10,7,4,7,8,True,4.2481,0.472,1.4078,8,5
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,2014,2023,10,5,0,2,0,True,4.1254,0.4584,0.8323,3,2
MNG,Mongolia,East Asia & Pacific,Upper middle income,2014,2023,10,6,5,6,9,True,4.0765,0.4529,0.8531,14,5
PAN,Panama,Latin America & Caribbean,High income,2014,2023,10,5,6,6,11,True,3.8472,0.4275,1.4507,34,13
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2014,2023,10,9,5,9,5,True,3.8406,0.4267,1.0337,2,1
NAM,Namibia,Sub-Saharan Africa,Lower middle income,2014,2023,10,4,0,3,1,True,3.8268,0.4252,0.5647,2,1
CRI,Costa Rica,Latin America & Caribbean,High income,2014,2023,10,3,6,2,8,True,3.8083,0.4231,0.9505,11,4
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2014,2023,10,0,0,0,0,True,3.7522,0.4169,0.8379,0,0
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2014,2023,10,1,1,0,4,True,3.6979,0.4109,0.84,4,2
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2014,2023,10,6,5,6,8,True,3.4507,0.3834,1.0445,9,6
HND,Honduras,Latin America & Caribbean,Lower middle income,2014,2023,10,7,5,7,7,True,3.4053,0.3784,0.9312,10,6
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2014,2023,10,4,3,1,4,True,3.3224,0.3692,0.5596,4,2
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2014,2023,10,3,5,2,5,True,3.3023,0.3669,0.5641,25,6
COL,Colombia,Latin America & Caribbean,Upper middle income,2014,2023,10,4,6,2,5,True,3.2459,0.3607,1.0161,9,3
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,2014,2023,10,7,1,5,2,True,3.2273,0.3586,0.6373,3,1
GUY,Guyana,Latin America & Caribbean,High income,2014,2023,10,9,6,9,11,True,3.2268,0.3585,0.944,29,16
BRA,Brazil,Latin America & Caribbean,Upper middle income,2014,2023,10,4,7,3,7,True,3.2055,0.3562,0.7082,7,2
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,2014,2023,10,2,0,1,0,True,3.1308,0.3479,0.914,1,1
BTN,Bhutan,South Asia,Lower middle income,2014,2023,10,8,6,9,10,True,3.1118,0.3458,0.481,5,3
MKD,North Macedonia,Europe & Central Asia,Upper middle income,2014,2023,10,1,1,0,4,True,3.0599,0.34,0.6438,6,2
RWA,Rwanda,Sub-Saharan Africa,Low income,2014,2023,10,9,1,5,1,True,3.0333,0.337,0.6928,4,3
BHS,"Bahamas, The",Latin America & Caribbean,High income,2014,2023,10,1,6,4,10,True,3.0261,0.3362,0.5692,19,6
MEX,Mexico,Latin America & Caribbean,Upper middle income,2014,2023,10,4,6,4,8,True,2.9824,0.3314,0.5592,6,2
PER,Peru,Latin America & Caribbean,Upper middle income,2014,2023,10,5,6,4,8,True,2.964,0.3293,0.7395,3,1
