country_code,country_name,region,income_level,som_row,som_col,macro_cluster,feature_distance,som_grid_distance,gdp_per_capita,life_expectancy,internet_users_pct,urban_population_pct,unemployment_pct,electricity_access_pct,co2_tons_per_capita_2018
THA,Thailand,East Asia & Pacific,Upper middle income,3,7,4,0.0,0,7346.62022142185,76.564,90.86718789,61.8689338391321,0.781,100.0,3.612694947840999
ECU,Ecuador,Latin America & Caribbean,Upper middle income,3,6,4,0.8341117084166404,1,6874.705739766,77.579,77.17273115,63.2376932397602,3.453,98.7,2.3185366743175053
JAM,Jamaica,Latin America & Caribbean,Upper middle income,2,7,4,0.8528862207704242,1,7753.8006955432,71.606,90.10870361,58.9301585439922,3.151,97.7,3.01762669865611
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2,8,4,0.9304821202023278,2,7283.8499076179,74.576,90.43979645,58.573795837717,5.648,100.0,3.221402183209251
MEX,Mexico,Latin America & Caribbean,Upper middle income,4,6,4,1.0750023901424008,2,14185.7812248529,75.264,83.12233799,79.7538805976118,2.678,99.7,3.7900452367514363
CHN,China,East Asia & Pacific,Upper middle income,4,8,1,1.1067186459342595,2,13303.1481543868,78.017,92.0,65.8946980998325,4.59,100.0,7.352262682140922
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,4,6,4,1.1278226637160915,2,10875.6618443092,73.868,91.0022446,72.4121874752151,5.312,99.6,2.3297974884745978
BLR,Belarus,Europe & Central Asia,Upper middle income,4,7,4,1.1480339023883193,1,8317.63399913792,74.3653414634147,94.26182128,79.1551015210848,3.458,100.0,6.283647736440654
HUN,Hungary,Europe & Central Asia,High income,5,7,1,1.150533515860242,2,23292.3263882478,76.7243902439025,93.77898628,70.491825943218,4.5,100.0,4.779043169419398
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,1,7,0,1.1633526412564907,2,3161.70010632875,72.528,89.50550079,50.9986686706543,4.439,100.0,3.4624008718244466
ROU,Romania,Europe & Central Asia,High income,2,9,4,1.170315965608302,3,20080.2096215595,76.4585365853659,91.29048551,52.1674778928768,5.4,100.0,3.845132759267884
CUB,Cuba,Latin America & Caribbean,Upper middle income,4,5,4,1.2046400651238345,3,9605.27914559614,78.264,70.47699738,77.1664929228275,1.755,100.0,2.2240792338692796
