country_code,country_name,region,income_level,capital_city,latitude,longitude,gdp_per_capita,gdp_per_capita_year,life_expectancy,life_expectancy_year,internet_users_pct,internet_users_pct_year,urban_population_pct,urban_population_pct_year,unemployment_pct,unemployment_pct_year,electricity_access_pct,electricity_access_pct_year,co2_mt_total_2018,population_2018,co2_tons_per_capita_2018
ABW,Aruba,Latin America & Caribbean,High income,Oranjestad,12.5167,-70.0167,39498.5941293797,2024.0,76.5,2024,,,61.7909396819594,2024,,,100.0,2023.0,,,
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,34.5228,69.1761,413.757894705303,2023.0,66.289,2024,16.09499931,2024.0,25.7007352636188,2024,13.687,2024.0,85.3,2023.0,7.44,36743039.0,0.2024873337232666
AGO,Angola,Sub-Saharan Africa,Lower middle income,Luanda,-8.81155,13.242,2665.87444776753,2024.0,64.805,2024,40.70479965,2024.0,70.6551379036435,2024,14.02,2024.0,51.1,2023.0,27.34,31297155.0,0.8735618301407908
ALB,Albania,Europe & Central Asia,Upper middle income,Tirane,41.3317,19.8172,11377.7757431099,2024.0,79.776,2024,85.86389923,2024.0,58.5463634043555,2024,10.689,2024.0,100.0,2023.0,5.56,2607733.0,2.132120121193389
AND,Andorra,Europe & Central Asia,High income,Andorra la Vella,42.5075,1.5218,49303.6491674336,2024.0,84.188,2024,94.39759827,2024.0,88.8850044816278,2024,,,100.0,2023.0,0.46,75162.0,6.120113887336686
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,24.4764,54.3705,50273.5060469837,2024.0,83.069,2024,100.0,2024.0,85.8171088279791,2024,2.16,2024.0,100.0,2023.0,200.3,9346701.0,21.430021137939473
ARG,Argentina,Latin America & Caribbean,Upper middle income,Buenos Aires,-34.6118,-58.4173,13969.7836603737,2024.0,77.543,2024,89.66715228,2024.0,92.2742315972952,2024,7.15,2024.0,100.0,2023.0,177.41,44654882.0,3.972913868633669
ARM,Armenia,Europe & Central Asia,Upper middle income,Yerevan,40.1596,44.509,8556.21406956719,2024.0,78.319512195122,2024,81.33930206,2024.0,65.8113671449901,2024,12.405,2024.0,100.0,2023.0,5.55,2969000.0,1.8693162681037387
ASM,American Samoa,East Asia & Pacific,High income,Pago Pago,-14.2846,-170.691,18017.4589383973,2022.0,72.992,2024,,,80.9446986961818,2024,,,,,,,
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,Saint John's,17.1175,-61.8456,23542.4526945578,2024.0,77.766,2024,72.73040009,2024.0,24.3906919254799,2024,,,100.0,2023.0,0.53,90926.0,5.828915821657172
AUS,Australia,East Asia & Pacific,High income,Canberra,-35.282,149.129,64603.9856308464,2024.0,83.0512195121951,2024,96.13140106,2024.0,87.6021469990446,2024,3.942,2024.0,100.0,2023.0,386.62,24963258.0,15.487561759767095
AUT,Austria,Europe & Central Asia,High income,Vienna,48.2201,16.3798,58268.8787651601,2024.0,81.9951219512195,2024,94.91974877,2024.0,69.4658181096788,2024,5.2,2024.0,100.0,2023.0,63.18,8840521.0,7.146637624637734
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,Baku,40.3834,49.8932,7283.8499076179,2024.0,74.576,2024,90.43979645,2024.0,58.573795837717,2024,5.648,2024.0,100.0,2023.0,32.02,9939771.0,3.221402183209251
BDI,Burundi,Sub-Saharan Africa,Low income,Bujumbura,-3.3784,29.3639,219.424830882698,2024.0,63.818,2024,8.595999718,2024.0,24.8302838651025,2024,0.915,2024.0,11.6,2023.0,0.59,11859446.0,0.049749372778458624
BEL,Belgium,Europe & Central Asia,High income,Brussels,50.8371,4.36761,56614.5679499036,2024.0,82.3,2024,95.77579144,2024.0,87.6126557010527,2024,5.7,2024.0,100.0,2023.0,93.47,11427054.0,8.179711061136143
BEN,Benin,Sub-Saharan Africa,Lower middle income,Porto-Novo,6.4779,2.6323,1485.38018885134,2024.0,60.961,2024,33.98379898,2024.0,52.5455354818423,2024,1.637,2024.0,57.0,2023.0,7.91,12383347.0,0.6387610716230434
BFA,Burkina Faso,Sub-Saharan Africa,Low income,Ouagadougou,12.3605,-1.53395,981.992649769081,2024.0,61.292,2024,28.25270081,2024.0,28.3352514896662,2024,3.441,2024.0,21.7,2023.0,4.27,20438288.0,0.20892160830691886
BGD,Bangladesh,South Asia,Lower middle income,Dhaka,23.7055,90.4113,2593.41611680774,2024.0,74.93,2024,53.42171316,2024.0,32.6783196323307,2024,3.635,2024.0,99.5,2023.0,82.76,163523103.0,0.5061058558801933
BGR,Bulgaria,Europe & Central Asia,High income,Sofia,42.7105,23.3238,17596.0173663521,2024.0,75.7609756097561,2024,82.438955,2024.0,73.9499356882481,2024,4.2,2024.0,100.0,2023.0,41.13,6710798.0,6.12892833311329
